,attraction_names,address,category,rating,num_reviews,suggested_duration(hr),main_category,sub_cat1,sub_cat2
96,Inuit Gallery of Vancouver,"206 Cambie St, Vancouver, British Columbia V6B 2M9 Canada",['Art Galleries'],4.5,22,,Art Galleries,,
97,John Hendry (Trout Lake) Park,"3300 Victoria Dr, Vancouver, British Columbia BC V5N Canada",['Parks'],4.5,24,,Parks,,
98,Vancouver Flea Market,"703 Terminal Ave, Vancouver, British Columbia V6A 2M2 Canada",['Flea & Street Markets'],3.0,37,,Flea & Street Markets,,
99,Girl In A Wetsuit,"2600 Stanley Park Drive, Vancouver, British Columbia V6G Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.0,115,,Points of Interest & Landmarks , Monuments & Statues,
100,Oakridge Centre,"650 W 41st Ave, Vancouver, British Columbia V5Z 2M9 Canada",['Shopping Malls'],4.0,40,2,Shopping Malls,,
101,Granville Street Bridge,,['Bridges'],4.0,47,,Bridges,,
102,Ilanaaq Inukshuk,"1700 Beach Ave, Vancouver, British Columbia BC V6E Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.5,20,,Points of Interest & Landmarks , Monuments & Statues,
103,Scotiabank Theatre Vancouver,"900 Burrard St, Vancouver, British Columbia V6Z 3G5 Canada",['Theatres'],4.0,60,,Theatres,,
104,Locarno Beach,"4445 Marine Dr NW, Vancouver, British Columbia V6R 1B7 Canada",['Beaches'],4.5,23,,Beaches,,
105,TransLink - Metro Vancouver,,['Public Transportation Systems'],3.5,90,,Public Transportation Systems,,
106,Metro Theatre,"1370 Marine Dr SW, Vancouver, British Columbia V6P 5Z9 Canada",['Theatres'],4.5,18,,Theatres,,
107,Morton Park,"1800 Morton Avenue, Vancouver, British Columbia V6G 1Z1 Canada",['Parks'],4.0,32,,Parks,,
108,Prospect Point Lighthouse,,['Lighthouses'],4.5,44,,Lighthouses,,
109,Andina Brewing Company,"1507 Powell St, Vancouver, British Columbia V5L 5C3 Canada",['Breweries'],4.5,21,2,Breweries,,
110,Chan Centre for the Performing Arts,"6265 Crescent Rd University of British Columbia, Vancouver, British Columbia V6T 1Z1 Canada",['Theatres'],4.5,28,,Theatres,,
111,Angel of Victory,"601 Cordova St W, Vancouver, British Columbia V6B 1G1 Canada","['Points of Interest & Landmarks ', ' Monuments & Statues']",4.0,26,,Points of Interest & Landmarks , Monuments & Statues,
112,Roundhouse Community Arts & Recreation Centre,"181 Roundhouse Mews (Downtown), Vancouver, British Columbia V6Z 2W3 Canada",['Civic Centres'],4.5,42,2,Civic Centres,,
113,Stanley Park Nature House,"975 Lagoon Dr South-east shore of Lost Lagoon and under the Viewing Plaza at the north end of Alberni Street., Vancouver, British Columbia V6G 2S1 Canada",['Speciality Museums'],4.5,40,,Speciality Museums,,
114,Charleson Park,"999 Charleson Rd, Vancouver, British Columbia V5Z 4A2 Canada","['Biking Trails ', ' Parks']",4.0,14,,Biking Trails , Parks,
115,Mount Pleasant,,['Neighbourhoods'],4.0,14,,Neighbourhoods,,
116,Main Street Brewery,"261 7th Ave E, Vancouver, British Columbia V5T 0B8 Canada",['Breweries'],4.5,31,,Breweries,,
117,George Wainborn Park,"450 Beach Cresent, Vancouver, British Columbia V6Z 3G1 Canada","['Parks ', ' Playgrounds']",4.0,21,2,Parks , Playgrounds,
118,Second Beach Pool,"Stanley Park Dr, Vancouver, British Columbia V6C 2T1 Canada",['Sports Complexes'],4.0,18,,Sports Complexes,,
119,Trout Lake (East Vancouver) Farmers Market,"Lakewood Drive and 13th Avenue, Vancouver, British Columbia V5L 2X5 Canada",['Farmers Markets'],4.5,13,2,Farmers Markets,,
120,Brassneck Brewery,"2148 Main Street, Vancouver, British Columbia V5T 3C5 Canada",['Breweries'],4.5,55,,Breweries,,
121,Vancouver Playhouse Theatre Company,,['Theatres'],4.5,18,,Theatres,,
122,Sunshine Highway BC 101,,['Scenic Drives'],4.0,19,,Scenic Drives,,
123,Chali-Rosso Art Gallery,"999 Canada Pl Unit 312 in the Pan Pacific Hotel, Lobby level, Vancouver, British Columbia V6C 3G3 Canada","['Art Galleries ', ' Art Museums']",4.5,16,,Art Galleries , Art Museums,
124,Sam Kee Building,"8 Pender St W, Vancouver, British Columbia V6B 1R5 Canada",['Architectural Buildings'],3.5,24,,Architectural Buildings,,
125,Devonian Harbour Park,"1929 West Georgia Street, Vancouver, British Columbia V6G 2W9 Canada",['Parks'],4.0,22,,Parks,,
126,Hotel Europe,"43 Powell St, Vancouver, British Columbia V6A 1E9 Canada",['Architectural Buildings'],3.5,28,,Architectural Buildings,,
127,East Vancouver Brewing Company,"1675 Venables St, Vancouver, British Columbia V5L 2H1 Canada",['Breweries'],4.5,14,2,Breweries,,
128,St. Andrew's Wesley United Church,"1012 Nelson St 100 1022 Nelson Street, Vancouver, British Columbia V6E 1H8 Canada",['Churches & Cathedrals'],4.0,33,,Churches & Cathedrals,,
129,Engine 374 Pavilion,"181 Roundhouse Mews Corner of Pacific Blvd and Davie St, Vancouver, British Columbia V6Z 2W3 Canada","['Historic Sites ', ' Points of Interest & Landmarks']",4.5,13,,Historic Sites , Points of Interest & Landmarks,
130,Chinese Cultural Centre Museum and Archive,"555 Columbia St, Vancouver, British Columbia V6A 4H5 Canada",['History Museums'],4.0,13,,History Museums,,
131,Vancouver Symphony Orchestra,"843 Seymour Street #500, Vancouver, British Columbia V6B 0G4 Canada",['Symphonies'],5.0,36,,Symphonies,,
132,The Centre in Vancouver for Performing Arts,"777 Homer St, Vancouver, British Columbia V6B 2W1 Canada",['Theatres'],4.0,21,,Theatres,,
133,Vancouver Aquatic Centre,"1050 Beach Ave, Vancouver, British Columbia V6E 1T7 Canada",['Sports Complexes'],4.5,14,,Sports Complexes,,
134,Odd Society Spirits,"1725 Powell St, Vancouver, British Columbia V5L 1H6 Canada",['Distilleries'],4.5,16,2,Distilleries,,
135,Coastal Peoples Fine Arts Gallery,"332 Water St Unit 200, Vancouver, British Columbia V6B 1B6 Canada",['Art Galleries'],5.0,25,,Art Galleries,,
136,Teapot Hill Trail,,['Hiking Trails'],4.5,10,,Hiking Trails,,
137,Rennie Museum,"51 Pender St E, Vancouver, British Columbia V6A 1S9 Canada","['Speciality Museums ', ' Art Museums']",5.0,8,2,Speciality Museums , Art Museums,
138,First Baptist Church,"969 Burrard St, Vancouver, British Columbia V6Z 1Y1 Canada",['Churches & Cathedrals'],4.0,19,,Churches & Cathedrals,,
139,Eagle Spirit Gallery,"1803 Maritime Mews Granville Island, Vancouver, British Columbia V6H 3W7 Canada",['Art Galleries'],5.0,14,,Art Galleries,,
140,Yaletown Distilling Company,"1132 Hamilton St, Vancouver, British Columbia V6B 2S2 Canada",['Distilleries'],4.5,16,2,Distilleries,,
141,Crab Park,"101 Waterfront Rd E, Vancouver, British Columbia V6A 4K3 Canada",['Parks'],3.0,22,,Parks,,
142,Victory Square,"150 Hastings St W, Vancouver, British Columbia V6B 1G8 Canada",['Parks'],3.5,25,,Parks,,
143,West Point Grey,,"['Neighbourhoods ', ' Points of Interest & Landmarks']",4.0,14,,Neighbourhoods , Points of Interest & Landmarks,
144,The Drop,"1055 Canada Pl Bon Voyage Plaza, Vancouver, British Columbia V6C 0C3 Canada",['Points of Interest & Landmarks'],3.5,23,,Points of Interest & Landmarks,,
145,Granville Island Taproom,"1441 Cartwright St, Vancouver, British Columbia V6H 3R7 Canada",['Breweries'],4.0,44,,Breweries,,
146,Venue,"881 Granville St, Vancouver, British Columbia V6Z 1K7 Canada",['Theatres'],3.0,16,,Theatres,,
147,Doug Mitchell Thunderbird Sports Centre,"6066 Thunderbird Boulevard, Vancouver, British Columbia V6T 1Z3 Canada",['Sports Complexes'],3.5,10,,Sports Complexes,,
148,The Jewish Museum & Archives of BC,"6184 Ash St, Vancouver, British Columbia V5Z 3G9 Canada","['Speciality Museums ', ' History Museums']",5.0,11,2,Speciality Museums , History Museums,
149,Aquatic Centre at Hillcrest Park,"4575 Clancy Loranger Way, Vancouver, British Columbia V5Y 2M4 Canada",['Sports Complexes'],4.0,13,2,Sports Complexes,,
150,Vancouver Christmas Market,"Jack Poole Plaza, 1055 Canada Pl Jack Poole Plaza, Vancouver, British Columbia V6C 0C3 Canada",['Food & Drink Festivals'],4.0,18,3,Food & Drink Festivals,,
151,Vancouver Opera,"649 Cambie St Queen Elizabeth Theatre, Vancouver, British Columbia V6B 2P1 Canada",['Operas'],4.0,33,,Operas,,
152,Bomber Brewing,"1488 Adanac St, Vancouver, British Columbia V5L 2C3 Canada",['Breweries'],4.5,20,,Breweries,,
153,Barclay Heritage Square,"1440 Haro St (Bordered by Broughton, Barclay and Nicola Streets), Vancouver, British Columbia V6G 1G1 Canada","['Neighbourhoods ', ' Parks ', ' History Museums']",4.0,18,,Neighbourhoods , Parks , History Museums
154,Dogwood Brewing,"8284 Sherbrooke St, Vancouver, British Columbia V5X 4E8 Canada",['Breweries'],5.0,14,,Breweries,,
155,Old Hastings Mill Store Museum,"1575 Alma St, Vancouver, British Columbia V6R 3P3 Canada",['Speciality Museums'],4.0,5,,Speciality Museums,,
156,The Birds,"1 Athletes Way Olympic Village, Vancouver, British Columbia V5Y 0B1 Canada",['Monuments & Statues'],3.5,11,,Monuments & Statues,,
157,South Granville,"Granville St, Vancouver, British Columbia V6H 3J3 Canada",['Neighbourhoods'],4.0,35,,Neighbourhoods,,
158,DISTRICT FACTORY OUTLET,"620 Seymour St, Vancouver, British Columbia V6B 3K4 Canada",['Factory Outlets'],4.0,15,,Factory Outlets,,
159,Emery Barnes Park,"Seymour St, Vancouver, British Columbia V6B 3M7 Canada",['Parks'],3.5,18,,Parks,,
160,Benton Brothers Fine Cheese,"1689 Johnston Street Granville Island, Vancouver, British Columbia V6H 3R9 Canada",['Farmers Markets'],4.5,17,,Farmers Markets,,
161,Hadden Park,"1905 Ogden Ave, Vancouver, British Columbia V6J 1A3 Canada","['Points of Interest & Landmarks ', ' Parks ', ' Monuments & Statues']",4.5,16,,Points of Interest & Landmarks , Parks , Monuments & Statues
162,Nine O´Clock Gun,"Stanley Park Dr, Vancouver, British Columbia V6G 3E2 Canada",['Points of Interest & Landmarks'],4.0,14,,Points of Interest & Landmarks,,
163,Contemporary Art Gallery,"555 Nelson St, Vancouver, British Columbia V6B 6R5 Canada",['Art Galleries'],4.0,13,,Art Galleries,,
164,HSBC Building,"885 Georgia St W, Vancouver, British Columbia V6C 3E8 Canada",['Architectural Buildings'],3.5,15,,Architectural Buildings,,
165,Ukama Gallery,"1802 Maritime Mews Granville Island, Vancouver, British Columbia V6H 3X2 Canada","['Art Galleries ', ' Speciality Museums']",4.5,7,,Art Galleries , Speciality Museums,
166,The Shops at Bentall Centre,,['Shopping Malls'],3.5,10,,Shopping Malls,,
167,Marine Gateway,"434 - 497 South West Marine Drive, Vancouver, British Columbia BC V5X Canada",['Shopping Malls'],3.5,9,2,Shopping Malls,,
168,York Theatre,"639 Commercial Dr, Vancouver, British Columbia V5L 3W3 Canada",['Theatres'],4.5,5,,Theatres,,
169,Trans Am Totem,,['Monuments & Statues'],3.5,22,,Monuments & Statues,,
170,Punjabi Market,,['Neighbourhoods'],2.5,21,,Neighbourhoods,,
171,Big Rock Brewery,"310 4th Ave W, Vancouver, British Columbia V5Y 1G9 Canada",['Breweries'],3.5,27,2,Breweries,,
172,The West Side,,['Neighbourhoods'],4.5,15,,Neighbourhoods,,
173,Fraser River Park,"8705 Angus Dr, Vancouver, British Columbia V6P 6G2 Canada",['Parks'],4.5,6,,Parks,,
174,Artisan Sake Maker,"1339 Railspur Alley, Vancouver, British Columbia V6H 4G9 Canada",['Distilleries'],4.5,21,,Distilleries,,
175,Nelson Park,"1030 Bute, Vancouver, British Columbia V6E 1H8 Canada",['Parks'],3.5,10,,Parks,,
176,Cathedral Square,"Richards and Dunsmuir St, Vancouver, British Columbia V6B 1X4 Canada",['Points of Interest & Landmarks'],2.5,16,,Points of Interest & Landmarks,,
177,The Cultch,"1895 Venables St, Vancouver, British Columbia V5L 2H6 Canada",['Theatres'],5.0,19,,Theatres,,
178,Vancouver City Hall,"453 12th Ave W, Vancouver, British Columbia V5Y 1V4 Canada",['Points of Interest & Landmarks'],3.5,19,,Points of Interest & Landmarks,,
179,Vancouver Biennale,"290 3rd Ave W, Vancouver, British Columbia V5Y 1G1 Canada","['Art Galleries ', ' Points of Interest & Landmarks']",4.5,9,,Art Galleries , Points of Interest & Landmarks,
180,Strathcona,,['Neighbourhoods'],4.5,4,,Neighbourhoods,,
181,Karen Cooper Gallery,"1506 Duranleau Street Granville Island, Vancouver, British Columbia V6H 3S4 Canada",['Art Galleries'],5.0,5,,Art Galleries,,
182,Cooper's Park,"1020 Marinaside Crescent, Vancouver, British Columbia V6Z 3A2 Canada",['Parks'],3.5,13,2,Parks,,
183,Lattimer Gallery,"1590 2nd Ave W, Vancouver, British Columbia V6J 1H2 Canada",['Points of Interest & Landmarks'],4.5,7,,Points of Interest & Landmarks,,
184,Electic Bicycle Brewing,"20th East 4th Ave, Vancouver, British Columbia V5T 1E8 Canada",['Breweries'],4.5,8,,Breweries,,
185,Ballet BC,"677 Davie St 6th Floor, Vancouver, British Columbia V6B 2G6 Canada",['Ballets'],4.5,11,,Ballets,,
186,UBC Aquatic Centre,"6080 Student Union Boulevard, Vancouver, British Columbia V6T 1Z1 Canada",['Sports Complexes'],4.5,7,2,Sports Complexes,,
187,Bowen Lookout,,['Lookouts'],5.0,3,2,Lookouts,,
188,New Brighton Park,"3201 New Brighton Rd, Vancouver, British Columbia V5K 0A1 Canada",['Parks'],4.0,5,,Parks,,
189,Oppenheimer Park,"400 Powell St, Vancouver, British Columbia V6A 1G6 Canada",['Parks'],2.0,9,,Parks,,
190,Andy Livingston Park,"89 Expo Boulevard, Vancouver, British Columbia V6B 1R1 Canada","['Parks ', ' Playgrounds']",2.5,11,,Parks , Playgrounds,
